15209288 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=45 aclk=7.64 vclk=863.34
15210298 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=47 aclk=7.64 vclk=863.34
15211323 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15212342 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15213367 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=46 aclk=7.64 vclk=863.34
15214385 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=43 aclk=7.64 vclk=863.34
15215393 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15216411 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=47 aclk=7.64 vclk=863.34
15217429 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=42 aclk=7.64 vclk=863.34
15218439 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=44 aclk=7.64 vclk=863.34
15219448 player-tick    screen= 2 backend=0 vo=1920x1080 pv=1920x1080 ready=1 pending=0 k4live=0 pb_active=1 has_disp=1 paused=1 diag=0 supUI=0 | conv=187 pub=187 decf=935 vpkt=1021 gate=1 dfps=0 rfps=41 aclk=7.64 vclk=863.34
